rank,country,name
1,USA,Dustin Johnson
2,ENG,Justin Rose
3,USA,Brooks Koepka
4,NIR,Rory McIlroy
5,USA,Justin Thomas
6,USA,Tiger Woods
7,ITA,Francesco Molinari
8,USA,Bryson DeChambeau
9,USA,Xander Schauffele
10,USA,Rickie Fowler
11,ESP,Jon Rahm
12,USA,Matt Kuchar
13,ENG,Paul Casey
14,AUS,Jason Day
15,USA,Tony Finau
16,ENG,Tommy Fleetwood
17,USA,Patrick Cantlay
18,USA,Bubba Watson
19,USA,Patrick Reed
20,USA,Webb Simpson
21,RSA,Louis Oosthuizen
22,AUS,Marc Leishman
23,USA,Phil Mickelson
24,USA,Gary Woodland
25,USA,Kevin Kisner
26,ENG,Ian Poulter
27,AUS,Adam Scott
28,JPN,Hideki Matsuyama
29,ESP,Sergio Garcia
30,AUS,Cameron Smith
31,ESP,Rafa Cabrera Bello
32,ENG,Matthew Fitzpatrick
33,SWE,Alex Noren
34,USA,Keegan Bradley
35,ENG,Matt Wallace
36,USA,Jordan Spieth
37,ENG,Tyrrell Hatton
38,ENG,Eddie Pepperell
39,CHN,Haotong Li
40,SWE,Henrik Stenson
41,USA,Billy Horschel
42,THA,Kiradech Aphibarnrat
43,DEN,Lucas Bjerregaard
44,IRL,Shane Lowry
45,RSA,Justin Harding
46,RSA,Branden Grace
47,USA,J.B. Holmes
48,USA,Charles Howell III
49,USA,Kyle Stanley
50,DEN,Thorbjorn Olesen
51,USA,Brandt Snedeker
52,USA,Jim Furyk
53,USA,Kevin Na
54,KOR,Siwoo Kim
55,TPE,C.T. Pan
56,KOR,Byeong Hun An
57,USA,Andrew Putnam
58,USA,Keith Mitchell
59,KOR,Sungjae Im
60,ARG,Emiliano Grillo
61,MEX,Abraham Ancer
62,USA,Jason Kokrak
63,USA,Chez Reavie
64,USA,Aaron Wise
65,ESP,Jorge Campillo
66,ENG,Tom Lewis
67,USA,Charley Hoffman
68,SCO,Russell Knox
69,ENG,Lee Westwood
70,NED,Joost Luiten
71,USA,Luke List
72,THA,Jazz Janewattananond
73,USA,Ryan Palmer
74,USA,Ryan Moore
75,JPN,Satoshi Kodaira
76,CAN,Adam Hadwin
77,ESP,Adrian Otaegui
78,NZL,Ryan Fox
79,JPN,Shugo Imahira
80,SWE,Alexander Bjork
81,VEN,Jhonattan Vegas
82,ENG,Danny Willett
83,CAN,Corey Conners
84,USA,Lucas Glover
85,USA,Scott Piercy
86,USA,Daniel Berger
87,USA,Zach Johnson
88,BEL,Thomas Pieters
89,USA,Chesson Hadley
90,AUS,Lucas Herbert
91,USA,Brian Harman
92,USA,Patton Kizzire
93,USA,Julian Suri
94,RSA,Shaun Norris
95,RSA,Dylan Frittelli
96,USA,Cameron Champ
97,AUS,Brendan Jones
98,USA,Pat Perez
99,ENG,Ross Fisher
100,USA,Kevin Chappell
101,USA,Kevin Tway
102,USA,Sam Burns
103,USA,Jimmy Walker
104,RSA,Erik van Rooyen
105,USA,Michael Thompson
106,USA,Kurt Kitayama
107,USA,Stewart Cink
108,USA,Beau Hossler
109,USA,Ryan Armour
110,FRA,Alexander Levy
111,NZL,Danny Lee
112,RSA,JC Ritchie
113,FRA,Mike Lorenzo-Vera
114,RSA,Charl Schwartzel
115,NIR,Graeme McDowell
116,USA,Adam Long
117,ITA,Andrea Pavan
118,RSA,Richard Sterne
119,JPN,Yuta Ikeda
120,USA,David Lipsky
121,FIN,Mikko Korhonen
122,USA,Andrew Landry
123,USA,Martin Trainer
124,USA,Scott Stallings
125,USA,Joel Dahmen
126,USA,Kevin Streelman
127,ENG,Chris Wood
128,ESP,Adri Arnaus
129,ENG,Aaron Rai
130,ENG,Jordan L Smith
131,USA,Sean Crocker
132,USA,Brian Gay
133,USA,Peter Uihlein
134,KOR,Sunghoon Kang
135,JPN,Yuki Inamori
136,IND,Gaganjeet Bhullar
137,USA,Russell Henley
138,IND,Shubhankar Sharma
139,JPN,Masahiro Kawamura
140,USA,J.J Spaun
141,IRL,Paul Dunne
142,KOR,Sanghyun Park
143,RSA,Brandon Stone
144,USA,Austin Cook
145,JPN,Ryuko Tokimatsu
146,JPN,Yoshinori Fujimoto
147,AUS,Brad Kennedy
148,FRA,Victor Perez
149,ENG,Andy Sullivan
150,BEL,Thomas Detry
151,ENG,Paul Waring
152,CHI,Joaquin Niemann
153,AUS,Jason Scrivener
154,AUS,Jake Ian McLeod
155,USA,Ted Potter Jr
156,USA,John Catlin
157,USA,Denny McCarthy
158,AUS,Scott Hend
159,DEN,Joachim B Hansen
160,USA,Brice Garnett
161,USA,Talor Gooch
162,USA,Patrick Rodgers
163,USA,Brian Stuard
164,RSA,Dean Burmester
165,ENG,Chris Paisley
166,ESP,Nacho Elvira
167,USA,Harold Varner III
168,USA,JT Poston
169,RSA,Darren Fichardt
170,USA,Sam Ryder
171,USA,Brendan Steele
172,USA,Bronson Burgoon
173,ENG,Oliver Wilson
174,JPN,Shota Akiyoshi
175,ZIM,Scott Vincent
176,THA,Poom Saksansin
177,JPN,Rikuya Hoshino
178,JPN,Kodai Ichihara
179,USA,Nick Watney
180,FRA,Romain Langasque
181,PAR,Fabrizio Zanotti
182,USA,Troy Merritt
183,USA,Kelly Kraft
184,USA,Chris Kirk
185,SVK,Rory Sabbatini
186,AUS,Cameron Davis
187,USA,Chris Stroud
188,AUS,Aaron Baddeley
189,USA,Tyler McCumber
190,USA,Bud Cauley
191,ENG,Sam Horsfield
192,GER,Martin Kaymer
193,RSA,Louis de Jager
194,USA,Seungsu Han
195,CHN,Zhang Xinjun
196,AUS,Dimi Papadatos
197,ITA,Guido Migliozzi
198,USA,Kramer Hickok
199,AUS,Wade Ormsby
200,USA,Richy Werenski
201,KOR,Meenwhee Kim
202,RSA,Daniel van Tonder
203,SWE,Marcus Kinhult
204,USA,Jamie Lovemark
205,GER,Maximilian Kieffer
206,SCO,David Law
207,USA,Sihwan Kim
208,RSA,George Coetzee
209,ESP,Pablo Larrazabal
210,JPN,Yusaku Miyazato
211,USA,Johannes Veerman
212,SCO,Stephen Gallacher
213,IND,Anirban Lahiri
214,USA,Vaughn Taylor
215,SCO,David Drysdale
216,KOR,Y.E. Yang
217,SCO,Scott Jamieson
218,FRA,Benjamin Hebert
219,USA,Ollie Schniederjans
220,USA,Trey Mullinax
221,AUS,Matt Jones
222,KOR,Hyunwoo Ryu
223,USA,Scott Brown
224,KOR,Hosung Choi
225,JPN,Kazuki Higa
226,RSA,Jaco Ahlers
227,ENG,Jack Singh Brar
228,USA,Wyndham Clark
229,CHN,Wu Ashun
230,USA,Jason Dufner
231,KOR,Junggon Hwang
232,AUT,Matthias Schwab
233,BEL,Nicolas Colsaerts
234,JPN,Atomu Shigenaga
235,THA,Panuphol Pittayarat
236,USA,Scott Langley
237,SCO,Grant Forrest
238,SCO,Connor Syme
239,JPN,Ryo Ishikawa
240,KOR,Kyounghoon Lee
241,RSA,Jean-Paul Strydom
242,JPN,Mikumu Horikawa
243,DEN,Soren Kjeldsen
244,USA,Sean O'Hair
245,CAN,Nick Taylor
246,FIN,Kalle Samooja
247,IRL,Padraig Harrington
248,PHI,Miguel Tabuena
249,SCO,Liam Johnston
250,USA,Lanto Griffin
251,THA,Prom Meesawat
252,USA,Hudson Swafford
253,MAS,Gavin Green
254,PHI,Angelo Que
255,KOR,Sanghee Lee
256,USA,James Hahn
257,USA,Peter Malnati
258,CAN,Mackenzie Hughes
259,ENG,Matthew Southgate
260,FRA,Clement Sordet
261,USA,Robert Streb
262,ENG,Andrew Johnston
263,FIN,Kim Koivu
264,AUS,Matthew Millar
265,SCO,Robert MacIntyre
266,SWE,Joakim Lagergren
267,USA,Adam Schenk
268,ENG,Richard McEvoy
269,RSA,Neil Schietekat
270,CAN,Roger Sloan
271,ENG,Robert Rock
272,IND,Chikkarangappa S
273,RSA,Zander Lombard
274,SCO,Martin Laird
275,IND,Ajeetesh Sandhu
276,JPN,Hideto Tanihara
277,USA,Anders Albertson
278,JPN,Hiroshi Iwata
279,AUS,Maverick Antcliff
280,RSA,Thomas Aiken
281,JPN,Yuta Kinoshita
282,USA,Sam Saunders
283,BRA,Adilson da Silva
284,FIN,Tapio Pulkkanen
285,THA,Danthai Boonma
286,THA,Sadom Kaewkanjana
287,MEX,Carlos Ortiz
288,NZL,Nick Voke
289,SWE,Sebastian Soderberg
290,COL,Juan Sebastian Munoz
291,IRL,Seamus Power
292,AUS,Min Woo Lee
293,USA,Ryan Blaum
294,USA,Roberto Castro
295,USA,Bill Haas
296,AUS,Matthew Griffin
297,USA,Scottie Scheffler
298,SWE,Anton Karlsson
299,GRE,Peter Karmis
300,USA,Brandon Harkins
